17:57:22.620[main][INFO ]启动我们的程序  c.y.a.DemoMain.main:34
17:57:25.546[main][INFO ]Activiti 5 compatibility handler implementation not found or error during instantiation : org.activiti.compatibility.DefaultActiviti5CompatibilityHandler. Activiti 5 backwards compatibility disabled.  o.a.e.c.DefaultActiviti5CompatibilityHandlerFactory.createActiviti5CompatibilityHandler:38
17:57:25.587[main][INFO ]performing create on engine with resource org/activiti/db/create/activiti.h2.create.engine.sql  o.a.e.i.d.DbSqlSession.executeSchemaResource:1147
17:57:25.676[main][INFO ]performing create on history with resource org/activiti/db/create/activiti.h2.create.history.sql  o.a.e.i.d.DbSqlSession.executeSchemaResource:1147
17:57:25.689[main][INFO ]performing create on identity with resource org/activiti/db/create/activiti.h2.create.identity.sql  o.a.e.i.d.DbSqlSession.executeSchemaResource:1147
17:57:25.695[main][INFO ]ProcessEngine default created  o.a.e.i.ProcessEngineImpl.<init>:87
17:57:25.719[main][INFO ]流程引擎名称default,版本6.0.0.4  c.y.a.DemoMain.getProcessEngine:123
17:57:26.266[main][INFO ]流程定义文件 [二级审批流程] , 流程ID [second_approve:1:4]  c.y.a.DemoMain.getProcessDefinition:112
17:57:26.301[main][INFO ]启动流程 [second_approve]  c.y.a.DemoMain.getProcessInstance:99
17:57:26.327[main][INFO ]待处理任务数量 [1]  c.y.a.DemoMain.processTask:55
17:57:26.327[main][INFO ]待处理任务 [填写审批信息]  c.y.a.DemoMain.processTask:58
17:57:26.348[main][INFO ]请输入 申请信息 ？  c.y.a.DemoMain.getMap:78
17:57:38.240[main][INFO ]您输入的内容是 [请假]  c.y.a.DemoMain.getMap:90
17:57:38.241[main][INFO ]请输入 申请人姓名 ？  c.y.a.DemoMain.getMap:78
17:57:45.520[main][INFO ]您输入的内容是 [mouxiaofeng]  c.y.a.DemoMain.getMap:90
17:57:45.521[main][INFO ]请输入 提交时间 ？ 格式 （yyyy-MM-dd）  c.y.a.DemoMain.getMap:82
17:57:55.820[main][INFO ]您输入的内容是 [2019-09-21]  c.y.a.DemoMain.getMap:90
17:57:55.821[main][INFO ]请输入 确认申请 ？  c.y.a.DemoMain.getMap:78
17:58:01.478[main][INFO ]您输入的内容是 [Y]  c.y.a.DemoMain.getMap:90
17:58:01.603[main][INFO ]待处理任务数量 [1]  c.y.a.DemoMain.processTask:55
17:58:01.603[main][INFO ]待处理任务 [主管审批]  c.y.a.DemoMain.processTask:58
17:58:01.608[main][INFO ]请输入 主管审批结果 ？  c.y.a.DemoMain.getMap:78
17:58:08.509[main][INFO ]您输入的内容是 [y]  c.y.a.DemoMain.getMap:90
17:58:08.509[main][INFO ]请输入 主管备注 ？  c.y.a.DemoMain.getMap:78
17:58:12.421[main][INFO ]您输入的内容是 [同意]  c.y.a.DemoMain.getMap:90
17:58:12.445[main][INFO ]待处理任务数量 [1]  c.y.a.DemoMain.processTask:55
17:58:12.446[main][INFO ]待处理任务 [人事审批]  c.y.a.DemoMain.processTask:58
17:58:12.450[main][INFO ]请输入 人事审批结果 ？  c.y.a.DemoMain.getMap:78
17:58:18.874[main][INFO ]您输入的内容是 [Y]  c.y.a.DemoMain.getMap:90
17:58:18.875[main][INFO ]请输入 人事审批备注 ？  c.y.a.DemoMain.getMap:78
17:58:25.966[main][INFO ]您输入的内容是 [同意]  c.y.a.DemoMain.getMap:90
17:58:26.062[main][INFO ]结束我们的程序  c.y.a.DemoMain.main:46
